Kernel,Sigma,Min Accuracy,Max Accuracy,Average Accuracy
gaussian_kernel,0.001,0.6815,0.7033,0.6946
gaussian_kernel,0.006,0.7348,0.7543,0.7422
gaussian_kernel,0.011,0.7481,0.7685,0.7579
gaussian_kernel,0.016,0.7611,0.7793,0.7714
gaussian_kernel,0.021,0.7687,0.7935,0.7824
gaussian_kernel,0.026,0.7763,0.8011,0.7907
gaussian_kernel,0.031,0.7818,0.8098,0.7972
gaussian_kernel,0.036,0.7861,0.8185,0.8057
gaussian_kernel,0.041,0.7883,0.8261,0.8116
gaussian_kernel,0.046,0.7926,0.8272,0.8135
gaussian_kernel,0.051,0.7959,0.8326,0.8192
gaussian_kernel,0.056,0.8013,0.8413,0.8255
gaussian_kernel,0.061,0.8143,0.8511,0.8313
gaussian_kernel,0.066,0.8165,0.8587,0.8357
gaussian_kernel,0.071,0.8284,0.8630,0.8440
gaussian_kernel,0.076,0.8328,0.8652,0.8474
gaussian_kernel,0.081,0.8426,0.8696,0.8531
gaussian_kernel,0.086,0.8480,0.8783,0.8596
gaussian_kernel,0.091,0.8512,0.8859,0.8648
gaussian_kernel,0.096,0.8578,0.8902,0.8720
gaussian_kernel,0.101,0.8664,0.8935,0.8776
gaussian_kernel,0.106,0.8675,0.8946,0.8805
gaussian_kernel,0.111,0.8697,0.8989,0.8839
gaussian_kernel,0.116,0.8740,0.9043,0.8874
gaussian_kernel,0.121,0.8761,0.9076,0.8898
gaussian_kernel,0.126,0.8762,0.9076,0.8911
gaussian_kernel,0.131,0.8806,0.9098,0.8944
gaussian_kernel,0.136,0.8827,0.9109,0.8965
gaussian_kernel,0.141,0.8849,0.9120,0.8983
gaussian_kernel,0.146,0.8871,0.9141,0.8996
gaussian_kernel,0.151,0.8871,0.9163,0.9009
gaussian_kernel,0.156,0.8903,0.9163,0.9020
gaussian_kernel,0.161,0.8914,0.9163,0.9031
gaussian_kernel,0.166,0.8914,0.9163,0.9033
gaussian_kernel,0.171,0.8914,0.9185,0.9044
gaussian_kernel,0.176,0.8914,0.9174,0.9048
gaussian_kernel,0.181,0.8925,0.9196,0.9057
gaussian_kernel,0.186,0.8925,0.9217,0.9065
gaussian_kernel,0.191,0.8914,0.9217,0.9065
gaussian_kernel,0.196,0.8914,0.9207,0.9061
gaussian_kernel,0.201,0.8925,0.9207,0.9063
gaussian_kernel,0.206,0.8936,0.9207,0.9065
gaussian_kernel,0.211,0.8936,0.9217,0.9070
gaussian_kernel,0.216,0.8936,0.9217,0.9070
gaussian_kernel,0.221,0.8936,0.9228,0.9074
gaussian_kernel,0.226,0.8947,0.9228,0.9078
gaussian_kernel,0.231,0.8936,0.9239,0.9083
gaussian_kernel,0.236,0.8936,0.9261,0.9087
gaussian_kernel,0.241,0.8936,0.9261,0.9092
gaussian_kernel,0.246,0.8947,0.9250,0.9092
gaussian_kernel,0.251,0.8947,0.9239,0.9094
gaussian_kernel,0.256,0.8947,0.9250,0.9096
gaussian_kernel,0.261,0.8936,0.9261,0.9096
gaussian_kernel,0.266,0.8936,0.9261,0.9096
gaussian_kernel,0.271,0.8936,0.9261,0.9094
gaussian_kernel,0.276,0.8936,0.9261,0.9094
gaussian_kernel,0.281,0.8936,0.9261,0.9098
gaussian_kernel,0.286,0.8936,0.9261,0.9098
gaussian_kernel,0.291,0.8958,0.9250,0.9100
gaussian_kernel,0.296,0.8969,0.9250,0.9102
gaussian_kernel,0.301,0.8969,0.9261,0.9105
gaussian_kernel,0.306,0.8969,0.9261,0.9105
gaussian_kernel,0.311,0.8969,0.9272,0.9107
gaussian_kernel,0.316,0.8969,0.9272,0.9111
gaussian_kernel,0.321,0.8969,0.9272,0.9111
gaussian_kernel,0.326,0.8969,0.9272,0.9111
gaussian_kernel,0.331,0.8979,0.9261,0.9109
gaussian_kernel,0.336,0.8979,0.9261,0.9109
gaussian_kernel,0.341,0.8979,0.9261,0.9113
gaussian_kernel,0.346,0.8979,0.9261,0.9111
gaussian_kernel,0.351,0.8979,0.9261,0.9111
gaussian_kernel,0.356,0.8990,0.9250,0.9111
gaussian_kernel,0.361,0.8990,0.9250,0.9111
gaussian_kernel,0.366,0.8990,0.9261,0.9113
gaussian_kernel,0.371,0.9001,0.9261,0.9115
gaussian_kernel,0.376,0.9001,0.9272,0.9118
gaussian_kernel,0.381,0.9001,0.9283,0.9120
gaussian_kernel,0.386,0.9001,0.9283,0.9120
gaussian_kernel,0.391,0.9001,0.9283,0.9120
gaussian_kernel,0.396,0.9001,0.9283,0.9120
gaussian_kernel,0.401,0.9001,0.9283,0.9122
gaussian_kernel,0.406,0.9012,0.9283,0.9124
gaussian_kernel,0.411,0.9012,0.9272,0.9122
gaussian_kernel,0.416,0.9034,0.9283,0.9128
gaussian_kernel,0.421,0.9045,0.9293,0.9133
gaussian_kernel,0.426,0.9045,0.9283,0.9133
gaussian_kernel,0.431,0.9045,0.9283,0.9133
gaussian_kernel,0.436,0.9045,0.9293,0.9135
gaussian_kernel,0.441,0.9045,0.9293,0.9135
gaussian_kernel,0.446,0.9045,0.9293,0.9139
gaussian_kernel,0.451,0.9045,0.9293,0.9139
gaussian_kernel,0.456,0.9045,0.9293,0.9139
gaussian_kernel,0.461,0.9045,0.9304,0.9144
gaussian_kernel,0.466,0.9045,0.9304,0.9146
gaussian_kernel,0.471,0.9034,0.9283,0.9139
gaussian_kernel,0.476,0.9034,0.9283,0.9139
gaussian_kernel,0.481,0.9034,0.9283,0.9139
gaussian_kernel,0.486,0.9055,0.9283,0.9144
gaussian_kernel,0.491,0.9055,0.9272,0.9142
gaussian_kernel,0.496,0.9055,0.9272,0.9144
gaussian_kernel,0.501,0.9055,0.9272,0.9144
gaussian_kernel,0.506,0.9055,0.9272,0.9144
gaussian_kernel,0.511,0.9055,0.9272,0.9144
gaussian_kernel,0.516,0.9055,0.9283,0.9148
gaussian_kernel,0.521,0.9066,0.9283,0.9150
gaussian_kernel,0.526,0.9077,0.9261,0.9148
gaussian_kernel,0.531,0.9099,0.9272,0.9157
gaussian_kernel,0.536,0.9099,0.9272,0.9157
gaussian_kernel,0.541,0.9099,0.9261,0.9155
gaussian_kernel,0.546,0.9110,0.9250,0.9155
gaussian_kernel,0.551,0.9088,0.9250,0.9152
gaussian_kernel,0.556,0.9088,0.9250,0.9152
gaussian_kernel,0.561,0.9088,0.9250,0.9150
gaussian_kernel,0.566,0.9088,0.9250,0.9146
gaussian_kernel,0.571,0.9088,0.9228,0.9142
gaussian_kernel,0.576,0.9077,0.9228,0.9142
gaussian_kernel,0.581,0.9066,0.9239,0.9144
gaussian_kernel,0.586,0.9066,0.9217,0.9139
gaussian_kernel,0.591,0.9066,0.9217,0.9142
gaussian_kernel,0.596,0.9066,0.9217,0.9142
gaussian_kernel,0.601,0.9077,0.9217,0.9142
gaussian_kernel,0.606,0.9077,0.9228,0.9144
gaussian_kernel,0.611,0.9077,0.9228,0.9146
gaussian_kernel,0.616,0.9077,0.9228,0.9146
gaussian_kernel,0.621,0.9077,0.9217,0.9142
gaussian_kernel,0.626,0.9077,0.9217,0.9139
gaussian_kernel,0.631,0.9066,0.9196,0.9133
gaussian_kernel,0.636,0.9055,0.9207,0.9128
gaussian_kernel,0.641,0.9055,0.9207,0.9135
gaussian_kernel,0.646,0.9045,0.9196,0.9135
gaussian_kernel,0.651,0.9045,0.9207,0.9139
gaussian_kernel,0.656,0.9045,0.9207,0.9135
gaussian_kernel,0.661,0.9034,0.9207,0.9128
gaussian_kernel,0.666,0.9023,0.9207,0.9124
gaussian_kernel,0.671,0.9012,0.9207,0.9122
gaussian_kernel,0.676,0.8990,0.9207,0.9118
gaussian_kernel,0.681,0.8990,0.9207,0.9115
gaussian_kernel,0.686,0.8990,0.9217,0.9120
gaussian_kernel,0.691,0.8990,0.9228,0.9122
gaussian_kernel,0.696,0.8979,0.9228,0.9120
gaussian_kernel,0.701,0.8979,0.9228,0.9122
gaussian_kernel,0.706,0.8979,0.9239,0.9124
gaussian_kernel,0.711,0.8990,0.9239,0.9124
gaussian_kernel,0.716,0.8990,0.9239,0.9128
gaussian_kernel,0.721,0.8990,0.9239,0.9126
gaussian_kernel,0.726,0.8990,0.9239,0.9126
gaussian_kernel,0.731,0.8990,0.9239,0.9126
gaussian_kernel,0.736,0.8990,0.9239,0.9124
gaussian_kernel,0.741,0.8979,0.9239,0.9120
gaussian_kernel,0.746,0.8979,0.9228,0.9120
gaussian_kernel,0.751,0.8979,0.9228,0.9120
gaussian_kernel,0.756,0.8979,0.9217,0.9115
gaussian_kernel,0.761,0.8979,0.9217,0.9115
gaussian_kernel,0.766,0.8990,0.9228,0.9118
gaussian_kernel,0.771,0.8990,0.9228,0.9118
gaussian_kernel,0.776,0.8990,0.9228,0.9118
gaussian_kernel,0.781,0.8990,0.9228,0.9118
gaussian_kernel,0.786,0.8990,0.9228,0.9118
gaussian_kernel,0.791,0.8990,0.9228,0.9115
gaussian_kernel,0.796,0.8979,0.9228,0.9113
gaussian_kernel,0.801,0.8979,0.9228,0.9113
gaussian_kernel,0.806,0.8979,0.9228,0.9115
gaussian_kernel,0.811,0.8979,0.9228,0.9113
gaussian_kernel,0.816,0.8958,0.9228,0.9107
gaussian_kernel,0.821,0.8958,0.9228,0.9107
gaussian_kernel,0.826,0.8969,0.9228,0.9109
gaussian_kernel,0.831,0.8958,0.9228,0.9107
gaussian_kernel,0.836,0.8947,0.9217,0.9100
gaussian_kernel,0.841,0.8936,0.9217,0.9098
gaussian_kernel,0.846,0.8947,0.9217,0.9100
gaussian_kernel,0.851,0.8936,0.9217,0.9096
gaussian_kernel,0.856,0.8936,0.9217,0.9096
gaussian_kernel,0.861,0.8936,0.9217,0.9094
gaussian_kernel,0.866,0.8936,0.9217,0.9094
gaussian_kernel,0.871,0.8936,0.9217,0.9094
gaussian_kernel,0.876,0.8947,0.9228,0.9096
gaussian_kernel,0.881,0.8936,0.9228,0.9092
gaussian_kernel,0.886,0.8936,0.9250,0.9089
gaussian_kernel,0.891,0.8936,0.9239,0.9087
gaussian_kernel,0.896,0.8936,0.9239,0.9087
gaussian_kernel,0.901,0.8936,0.9250,0.9089
gaussian_kernel,0.906,0.8936,0.9239,0.9087
gaussian_kernel,0.911,0.8936,0.9217,0.9083
gaussian_kernel,0.916,0.8936,0.9217,0.9083
gaussian_kernel,0.921,0.8936,0.9185,0.9078
gaussian_kernel,0.926,0.8936,0.9185,0.9081
gaussian_kernel,0.931,0.8947,0.9185,0.9081
gaussian_kernel,0.936,0.8947,0.9185,0.9081
gaussian_kernel,0.941,0.8936,0.9185,0.9076
gaussian_kernel,0.946,0.8936,0.9185,0.9074
gaussian_kernel,0.951,0.8936,0.9185,0.9076
gaussian_kernel,0.956,0.8936,0.9185,0.9076
gaussian_kernel,0.961,0.8936,0.9196,0.9078
gaussian_kernel,0.966,0.8914,0.9196,0.9076
gaussian_kernel,0.971,0.8914,0.9207,0.9078
gaussian_kernel,0.976,0.8903,0.9196,0.9072
gaussian_kernel,0.981,0.8882,0.9196,0.9065
gaussian_kernel,0.986,0.8882,0.9207,0.9068
gaussian_kernel,0.991,0.8882,0.9207,0.9068
gaussian_kernel,0.996,0.8882,0.9196,0.9063
gaussian_kernel,1.001,0.8882,0.9196,0.9059
gaussian_kernel,1.006,0.8882,0.9196,0.9059
gaussian_kernel,1.011,0.8871,0.9196,0.9059
gaussian_kernel,1.016,0.8871,0.9196,0.9057
gaussian_kernel,1.021,0.8871,0.9196,0.9055
gaussian_kernel,1.026,0.8871,0.9185,0.9055
gaussian_kernel,1.031,0.8871,0.9185,0.9055
gaussian_kernel,1.036,0.8860,0.9185,0.9055
gaussian_kernel,1.041,0.8860,0.9196,0.9052
gaussian_kernel,1.046,0.8871,0.9185,0.9052
gaussian_kernel,1.051,0.8871,0.9163,0.9046
gaussian_kernel,1.056,0.8871,0.9152,0.9039
gaussian_kernel,1.061,0.8860,0.9163,0.9037
gaussian_kernel,1.066,0.8849,0.9163,0.9033
gaussian_kernel,1.071,0.8849,0.9163,0.9033
gaussian_kernel,1.076,0.8849,0.9141,0.9026
gaussian_kernel,1.081,0.8838,0.9130,0.9022
gaussian_kernel,1.086,0.8827,0.9130,0.9015
gaussian_kernel,1.091,0.8838,0.9130,0.9011
gaussian_kernel,1.096,0.8817,0.9130,0.9002
gaussian_kernel,1.101,0.8817,0.9130,0.8996
gaussian_kernel,1.106,0.8806,0.9141,0.8992
gaussian_kernel,1.111,0.8806,0.9152,0.8989
gaussian_kernel,1.116,0.8806,0.9152,0.8985
gaussian_kernel,1.121,0.8806,0.9152,0.8983
gaussian_kernel,1.126,0.8817,0.9152,0.8981
gaussian_kernel,1.131,0.8817,0.9152,0.8974
gaussian_kernel,1.136,0.8817,0.9130,0.8970
gaussian_kernel,1.141,0.8806,0.9120,0.8961
gaussian_kernel,1.146,0.8806,0.9120,0.8955
gaussian_kernel,1.151,0.8806,0.9130,0.8952
gaussian_kernel,1.156,0.8795,0.9130,0.8948
gaussian_kernel,1.161,0.8795,0.9120,0.8946
gaussian_kernel,1.166,0.8784,0.9120,0.8944
gaussian_kernel,1.171,0.8784,0.9109,0.8937
gaussian_kernel,1.176,0.8784,0.9109,0.8937
gaussian_kernel,1.181,0.8784,0.9109,0.8937
gaussian_kernel,1.186,0.8784,0.9109,0.8926
gaussian_kernel,1.191,0.8773,0.9087,0.8913
gaussian_kernel,1.196,0.8773,0.9076,0.8911
gaussian_kernel,1.201,0.8773,0.9076,0.8909
gaussian_kernel,1.206,0.8773,0.9065,0.8902
gaussian_kernel,1.211,0.8773,0.9065,0.8902
gaussian_kernel,1.216,0.8773,0.9065,0.8902
gaussian_kernel,1.221,0.8762,0.9065,0.8898
gaussian_kernel,1.226,0.8762,0.9065,0.8894
gaussian_kernel,1.231,0.8751,0.9054,0.8887
gaussian_kernel,1.236,0.8730,0.9054,0.8883
gaussian_kernel,1.241,0.8719,0.9043,0.8876
gaussian_kernel,1.246,0.8708,0.9054,0.8872
gaussian_kernel,1.251,0.8697,0.9054,0.8863
gaussian_kernel,1.256,0.8697,0.9054,0.8861
gaussian_kernel,1.261,0.8697,0.9065,0.8859
gaussian_kernel,1.266,0.8686,0.9065,0.8852
gaussian_kernel,1.271,0.8686,0.9065,0.8848
gaussian_kernel,1.276,0.8697,0.9065,0.8852
gaussian_kernel,1.281,0.8697,0.9065,0.8850
gaussian_kernel,1.286,0.8697,0.9065,0.8842
gaussian_kernel,1.291,0.8675,0.9065,0.8835
gaussian_kernel,1.296,0.8664,0.9076,0.8835
gaussian_kernel,1.301,0.8664,0.9076,0.8831
gaussian_kernel,1.306,0.8664,0.9076,0.8829
gaussian_kernel,1.311,0.8621,0.9076,0.8816
gaussian_kernel,1.316,0.8599,0.9076,0.8811
gaussian_kernel,1.321,0.8588,0.9076,0.8805
gaussian_kernel,1.326,0.8588,0.9076,0.8800
gaussian_kernel,1.331,0.8599,0.9054,0.8798
gaussian_kernel,1.336,0.8599,0.9054,0.8798
gaussian_kernel,1.341,0.8599,0.9033,0.8792
gaussian_kernel,1.346,0.8599,0.9033,0.8787
gaussian_kernel,1.351,0.8578,0.9033,0.8783
gaussian_kernel,1.356,0.8534,0.9022,0.8770
gaussian_kernel,1.361,0.8534,0.9000,0.8755
gaussian_kernel,1.366,0.8534,0.9011,0.8757
gaussian_kernel,1.371,0.8534,0.8978,0.8748
gaussian_kernel,1.376,0.8545,0.8967,0.8746
gaussian_kernel,1.381,0.8545,0.8967,0.8748
gaussian_kernel,1.386,0.8545,0.8967,0.8748
gaussian_kernel,1.391,0.8545,0.8967,0.8744
gaussian_kernel,1.396,0.8545,0.8967,0.8742
gaussian_kernel,1.401,0.8534,0.8967,0.8735
gaussian_kernel,1.406,0.8534,0.8967,0.8731
gaussian_kernel,1.411,0.8523,0.8967,0.8722
gaussian_kernel,1.416,0.8512,0.8967,0.8720
gaussian_kernel,1.421,0.8512,0.8957,0.8716
gaussian_kernel,1.426,0.8512,0.8957,0.8707
gaussian_kernel,1.431,0.8512,0.8957,0.8705
gaussian_kernel,1.436,0.8502,0.8946,0.8700
gaussian_kernel,1.441,0.8491,0.8946,0.8698
gaussian_kernel,1.446,0.8491,0.8946,0.8698
gaussian_kernel,1.451,0.8491,0.8935,0.8694
gaussian_kernel,1.456,0.8469,0.8913,0.8674
gaussian_kernel,1.461,0.8469,0.8913,0.8674
gaussian_kernel,1.466,0.8469,0.8902,0.8672
gaussian_kernel,1.471,0.8469,0.8902,0.8668
gaussian_kernel,1.476,0.8458,0.8902,0.8663
gaussian_kernel,1.481,0.8447,0.8902,0.8659
gaussian_kernel,1.486,0.8458,0.8891,0.8650
gaussian_kernel,1.491,0.8436,0.8891,0.8639
gaussian_kernel,1.496,0.8436,0.8891,0.8635
gaussian_kernel,1.501,0.8436,0.8870,0.8624
gaussian_kernel,1.506,0.8436,0.8870,0.8622
gaussian_kernel,1.511,0.8404,0.8870,0.8607
gaussian_kernel,1.516,0.8415,0.8859,0.8605
gaussian_kernel,1.521,0.8415,0.8848,0.8594
gaussian_kernel,1.526,0.8426,0.8848,0.8587
gaussian_kernel,1.531,0.8415,0.8848,0.8579
gaussian_kernel,1.536,0.8415,0.8826,0.8574
gaussian_kernel,1.541,0.8415,0.8783,0.8561
gaussian_kernel,1.546,0.8415,0.8783,0.8559
gaussian_kernel,1.551,0.8415,0.8783,0.8550
gaussian_kernel,1.556,0.8382,0.8761,0.8537
gaussian_kernel,1.561,0.8382,0.8750,0.8533
gaussian_kernel,1.566,0.8371,0.8750,0.8526
gaussian_kernel,1.571,0.8371,0.8739,0.8520
gaussian_kernel,1.576,0.8360,0.8739,0.8518
gaussian_kernel,1.581,0.8360,0.8717,0.8511
gaussian_kernel,1.586,0.8360,0.8717,0.8511
gaussian_kernel,1.591,0.8360,0.8696,0.8505
gaussian_kernel,1.596,0.8350,0.8674,0.8498
gaussian_kernel,1.601,0.8339,0.8685,0.8496
gaussian_kernel,1.606,0.8339,0.8663,0.8489
gaussian_kernel,1.611,0.8328,0.8663,0.8487
gaussian_kernel,1.616,0.8328,0.8652,0.8483
gaussian_kernel,1.621,0.8328,0.8641,0.8476
gaussian_kernel,1.626,0.8328,0.8641,0.8463
gaussian_kernel,1.631,0.8328,0.8641,0.8459
gaussian_kernel,1.636,0.8328,0.8641,0.8453
gaussian_kernel,1.641,0.8317,0.8609,0.8437
gaussian_kernel,1.646,0.8317,0.8609,0.8431
gaussian_kernel,1.651,0.8317,0.8598,0.8422
gaussian_kernel,1.656,0.8306,0.8609,0.8418
gaussian_kernel,1.661,0.8306,0.8609,0.8409
gaussian_kernel,1.666,0.8295,0.8587,0.8403
gaussian_kernel,1.671,0.8263,0.8576,0.8394
gaussian_kernel,1.676,0.8263,0.8576,0.8394
gaussian_kernel,1.681,0.8263,0.8576,0.8390
gaussian_kernel,1.686,0.8263,0.8565,0.8383
gaussian_kernel,1.691,0.8263,0.8565,0.8379
gaussian_kernel,1.696,0.8241,0.8554,0.8366
gaussian_kernel,1.701,0.8252,0.8554,0.8366
gaussian_kernel,1.706,0.8241,0.8554,0.8357
gaussian_kernel,1.711,0.8230,0.8554,0.8355
gaussian_kernel,1.716,0.8230,0.8554,0.8355
gaussian_kernel,1.721,0.8230,0.8543,0.8350
gaussian_kernel,1.726,0.8208,0.8554,0.8346
gaussian_kernel,1.731,0.8208,0.8554,0.8344
gaussian_kernel,1.736,0.8208,0.8543,0.8340
gaussian_kernel,1.741,0.8208,0.8533,0.8333
gaussian_kernel,1.746,0.8187,0.8533,0.8322
gaussian_kernel,1.751,0.8187,0.8533,0.8316
gaussian_kernel,1.756,0.8187,0.8533,0.8311
gaussian_kernel,1.761,0.8187,0.8533,0.8311
gaussian_kernel,1.766,0.8187,0.8533,0.8311
gaussian_kernel,1.771,0.8154,0.8522,0.8298
gaussian_kernel,1.776,0.8143,0.8522,0.8298
gaussian_kernel,1.781,0.8132,0.8533,0.8298
gaussian_kernel,1.786,0.8132,0.8511,0.8294
gaussian_kernel,1.791,0.8132,0.8511,0.8283
gaussian_kernel,1.796,0.8122,0.8500,0.8274
gaussian_kernel,1.801,0.8111,0.8500,0.8272
gaussian_kernel,1.806,0.8111,0.8500,0.8270
gaussian_kernel,1.811,0.8100,0.8500,0.8266
gaussian_kernel,1.816,0.8100,0.8500,0.8263
gaussian_kernel,1.821,0.8100,0.8511,0.8261
gaussian_kernel,1.826,0.8089,0.8500,0.8250
gaussian_kernel,1.831,0.8100,0.8489,0.8242
gaussian_kernel,1.836,0.8111,0.8489,0.8240
gaussian_kernel,1.841,0.8111,0.8489,0.8240
gaussian_kernel,1.846,0.8111,0.8478,0.8233
gaussian_kernel,1.851,0.8100,0.8478,0.8227
gaussian_kernel,1.856,0.8100,0.8467,0.8222
gaussian_kernel,1.861,0.8100,0.8467,0.8218
gaussian_kernel,1.866,0.8089,0.8467,0.8213
gaussian_kernel,1.871,0.8078,0.8457,0.8207
gaussian_kernel,1.876,0.8078,0.8457,0.8205
gaussian_kernel,1.881,0.8078,0.8457,0.8203
gaussian_kernel,1.886,0.8078,0.8446,0.8200
gaussian_kernel,1.891,0.8067,0.8446,0.8194
gaussian_kernel,1.896,0.8067,0.8446,0.8192
gaussian_kernel,1.901,0.8056,0.8446,0.8187
gaussian_kernel,1.906,0.8056,0.8446,0.8187
gaussian_kernel,1.911,0.8056,0.8446,0.8185
gaussian_kernel,1.916,0.8067,0.8435,0.8181
gaussian_kernel,1.921,0.8046,0.8435,0.8174
gaussian_kernel,1.926,0.8046,0.8435,0.8177
gaussian_kernel,1.931,0.8035,0.8435,0.8168
gaussian_kernel,1.936,0.8035,0.8424,0.8157
gaussian_kernel,1.941,0.8035,0.8424,0.8155
gaussian_kernel,1.946,0.8035,0.8424,0.8153
gaussian_kernel,1.951,0.8024,0.8424,0.8153
gaussian_kernel,1.956,0.8024,0.8424,0.8150
gaussian_kernel,1.961,0.8024,0.8413,0.8144
gaussian_kernel,1.966,0.8002,0.8413,0.8131
gaussian_kernel,1.971,0.8002,0.8413,0.8131
gaussian_kernel,1.976,0.7991,0.8402,0.8124
gaussian_kernel,1.981,0.7991,0.8391,0.8118
gaussian_kernel,1.986,0.7991,0.8391,0.8118
gaussian_kernel,1.991,0.7991,0.8391,0.8116
gaussian_kernel,1.996,0.7980,0.8391,0.8111
gaussian_kernel,2.001,0.7980,0.8391,0.8109
laplacian_kernel,0.001,0.7492,0.7674,0.7579
laplacian_kernel,0.006,0.7991,0.8348,0.8159
laplacian_kernel,0.011,0.8241,0.8576,0.8446
laplacian_kernel,0.016,0.8567,0.8924,0.8774
laplacian_kernel,0.021,0.8773,0.9076,0.8944
laplacian_kernel,0.026,0.8871,0.9174,0.9048
laplacian_kernel,0.031,0.8914,0.9217,0.9089
laplacian_kernel,0.036,0.8925,0.9261,0.9109
laplacian_kernel,0.041,0.8925,0.9283,0.9118
laplacian_kernel,0.046,0.8936,0.9283,0.9124
laplacian_kernel,0.051,0.8936,0.9304,0.9128
laplacian_kernel,0.056,0.8936,0.9293,0.9126
laplacian_kernel,0.061,0.8936,0.9293,0.9126
laplacian_kernel,0.066,0.8936,0.9293,0.9133
laplacian_kernel,0.071,0.8936,0.9304,0.9135
laplacian_kernel,0.076,0.8936,0.9304,0.9137
laplacian_kernel,0.081,0.8958,0.9304,0.9144
laplacian_kernel,0.086,0.8947,0.9304,0.9144
laplacian_kernel,0.091,0.8947,0.9293,0.9139
laplacian_kernel,0.096,0.8947,0.9283,0.9139
laplacian_kernel,0.101,0.8936,0.9283,0.9137
laplacian_kernel,0.106,0.8947,0.9283,0.9139
laplacian_kernel,0.111,0.8947,0.9283,0.9139
laplacian_kernel,0.116,0.8969,0.9283,0.9142
laplacian_kernel,0.121,0.8969,0.9283,0.9139
laplacian_kernel,0.126,0.8969,0.9293,0.9142
laplacian_kernel,0.131,0.8979,0.9283,0.9144
laplacian_kernel,0.136,0.8979,0.9283,0.9146
laplacian_kernel,0.141,0.8979,0.9283,0.9144
laplacian_kernel,0.146,0.8979,0.9272,0.9142
laplacian_kernel,0.151,0.8979,0.9272,0.9146
laplacian_kernel,0.156,0.8979,0.9283,0.9148
laplacian_kernel,0.161,0.8979,0.9283,0.9150
laplacian_kernel,0.166,0.8979,0.9272,0.9148
laplacian_kernel,0.171,0.8979,0.9283,0.9155
laplacian_kernel,0.176,0.8979,0.9293,0.9159
laplacian_kernel,0.181,0.8969,0.9283,0.9155
laplacian_kernel,0.186,0.8969,0.9283,0.9155
laplacian_kernel,0.191,0.8958,0.9283,0.9157
laplacian_kernel,0.196,0.8969,0.9283,0.9159
laplacian_kernel,0.201,0.8969,0.9283,0.9161
laplacian_kernel,0.206,0.8969,0.9293,0.9165
laplacian_kernel,0.211,0.8979,0.9304,0.9174
laplacian_kernel,0.216,0.8979,0.9326,0.9174
laplacian_kernel,0.221,0.8990,0.9337,0.9178
laplacian_kernel,0.226,0.9001,0.9337,0.9185
laplacian_kernel,0.231,0.9001,0.9337,0.9185
laplacian_kernel,0.236,0.9001,0.9326,0.9185
laplacian_kernel,0.241,0.9001,0.9315,0.9183
laplacian_kernel,0.246,0.9001,0.9315,0.9185
laplacian_kernel,0.251,0.9012,0.9326,0.9189
laplacian_kernel,0.256,0.9012,0.9326,0.9189
laplacian_kernel,0.261,0.9012,0.9326,0.9192
laplacian_kernel,0.266,0.9012,0.9337,0.9198
laplacian_kernel,0.271,0.9012,0.9348,0.9200
laplacian_kernel,0.276,0.9023,0.9348,0.9202
laplacian_kernel,0.281,0.9034,0.9359,0.9209
laplacian_kernel,0.286,0.9045,0.9359,0.9207
laplacian_kernel,0.291,0.9045,0.9359,0.9209
laplacian_kernel,0.296,0.9045,0.9359,0.9205
laplacian_kernel,0.301,0.9045,0.9359,0.9205
laplacian_kernel,0.306,0.9055,0.9348,0.9205
laplacian_kernel,0.311,0.9066,0.9348,0.9205
laplacian_kernel,0.316,0.9066,0.9348,0.9205
laplacian_kernel,0.321,0.9066,0.9348,0.9205
laplacian_kernel,0.326,0.9066,0.9348,0.9207
laplacian_kernel,0.331,0.9066,0.9359,0.9207
laplacian_kernel,0.336,0.9066,0.9359,0.9209
laplacian_kernel,0.341,0.9077,0.9359,0.9211
laplacian_kernel,0.346,0.9077,0.9359,0.9215
laplacian_kernel,0.351,0.9066,0.9359,0.9215
laplacian_kernel,0.356,0.9066,0.9359,0.9209
laplacian_kernel,0.361,0.9066,0.9337,0.9207
laplacian_kernel,0.366,0.9066,0.9337,0.9207
laplacian_kernel,0.371,0.9055,0.9337,0.9207
laplacian_kernel,0.376,0.9066,0.9337,0.9207
laplacian_kernel,0.381,0.9077,0.9337,0.9209
laplacian_kernel,0.386,0.9077,0.9337,0.9209
laplacian_kernel,0.391,0.9077,0.9337,0.9211
laplacian_kernel,0.396,0.9077,0.9326,0.9211
laplacian_kernel,0.401,0.9077,0.9326,0.9211
laplacian_kernel,0.406,0.9077,0.9326,0.9209
laplacian_kernel,0.411,0.9077,0.9326,0.9213
laplacian_kernel,0.416,0.9077,0.9326,0.9213
laplacian_kernel,0.421,0.9088,0.9326,0.9215
laplacian_kernel,0.426,0.9088,0.9326,0.9218
laplacian_kernel,0.431,0.9077,0.9337,0.9220
laplacian_kernel,0.436,0.9077,0.9337,0.9220
laplacian_kernel,0.441,0.9077,0.9337,0.9220
laplacian_kernel,0.446,0.9077,0.9337,0.9218
laplacian_kernel,0.451,0.9077,0.9326,0.9215
laplacian_kernel,0.456,0.9088,0.9315,0.9213
laplacian_kernel,0.461,0.9088,0.9315,0.9211
laplacian_kernel,0.466,0.9088,0.9315,0.9211
laplacian_kernel,0.471,0.9088,0.9315,0.9211
laplacian_kernel,0.476,0.9131,0.9326,0.9220
laplacian_kernel,0.481,0.9121,0.9326,0.9220
